Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1µF","C_0805_2012Metric",133.800000,-98.000000,180.000000,top
"C2","10µF","C_1206_3216Metric",133.400000,-101.400000,180.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",129.175135,-106.516795,22.500000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",133.752513,-86.333274,-45.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",129.824865,-92.016795,-22.500000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",128.000000,-99.850000,0.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",166.999999,-99.850000,0.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",132.166726,-111.252513,45.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",163.000000,-111.500000,-45.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",165.175134,-93.016795,22.500000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",144.000000,-81.000000,0.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",165.824865,-106.516795,-22.500000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",151.500000,-81.000000,0.000000,top
"D2","SK6805","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",161.666726,-87.252513,45.000000,top
"R5","470","R_0805_2012Metric",162.675000,-100.000000,180.000000,top
"U1","XIAO-ESP32S3","xiao-esp32s3",148.600000,-91.425000,90.000000,top
